question,answer,topic
Tell me about the Duqm Port investment opportunity.,"Port of Duqm is receiving a $550 million FDI, focusing on marine upgrades and green steel production, aligned with Oman’s Vision 2040.",Tell me about the Duqm Port investment opportunity.
What is Sultan Haitham City?,"Sultan Haitham City is a brand-new planned community in Seeb designed to house 100,000 residents with expansive green space and modern infrastructure.",What is Sultan Haitham City?
How much investment were Oman’s free zones attracting?,"By the end of 2024, special economic and free zones in Oman attracted around OMR 21 billion in investment, marking a 10% annual growth.",How much investment were Oman’s free zones attracting?
Can you tell me about Jebel Sifah’s development?,"Jebel Sifah is a massive integrated tourism complex by Omran, featuring over 950 homes, hotels, a golf course, and a 200-berth marina.",Can you tell me about Jebel Sifah’s development?
What is the investment potential of Hawana Salalah?,"Hawana Salalah comprises over 1,150 luxury units, golf courses, hotels, and retail facilities — an attractive tourism and real estate investment by Omran.",What is the investment potential of Hawana Salalah?
Why should investors consider Oman Vision 2040?,"Vision 2040 focuses on economic diversification, industrial reform, and sustainable development — offering public–private partnerships and reforms favorable to investors.",Why should investors consider Oman Vision 2040?
What's the investment plan for tourism by 2040?,"Oman plans to invest US$31 billion in its tourism sector by 2040, aligned with Vision 2040 goals.",What's the investment plan for tourism by 2040?
How many tourism projects are underway?,"Currently, over 360 tourism projects are being implemented, receiving more than US$5.9 billion in investment.",How many tourism projects are underway?
What’s the expected investment in the heritage and tourism sector by 2025?,"For 2021–2025, the heritage and tourism sector investment is expected to reach OMR 3 billion, with ~33,000 hotel rooms planned.",What’s the expected investment in the heritage and tourism sector by 2025?
Tell me about the Jebel Al Akhdar tourist project.,"Jebel Al Akhdar will see a $2.4 billion mountain resort development featuring 2,527 homes, 2,000 hotel rooms, a wellness village, museum, and sustainability initiatives.",Tell me about the Jebel Al Akhdar tourist project.
Is there investment in Musandam tourism?,"Yes—in Musandam, Club Med is developing a resort spanning 250,000 m² with private beaches, for over $100 million.",Is there investment in Musandam tourism?
What is Omran investing in tourism?,Omran plans to invest US$3 billion over five years in strategic tourism projects and has attracted nearly US$2 billion in foreign investments.,What is Omran investing in tourism?
How much do hotels contribute to GDP?,"In 2023, tourism contributed RO 2.8 billion in GDP; expected to reach RO 3.3 billion (~7.6% of economy) in 2024.",How much do hotels contribute to GDP?
